County,Region,City,Reporting Year,APN,Prior APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Date Submitted,Very Low Income Deed  (Restricted) ,Very Low Income Non Deed  (Restricted) ,Low Income Deed (Restricted) ,Low Income Non Deed  (Restricted) ,Moderate Income Deed (Restricted) ,Moderate Income Non Deed  (Restricted) ,Above Moderate Income,Total Proposed Units,Approved Units,Denied Units,SB 35 Application Submitted?,Notes,match_score,y_lat,x_long,place_addr
ALAMEDA,CA,ALAMEDA,2020,70-196-21,,2515 CLEMENT AVE,,ADU20-0049,Accessory Dwelling Unit,Renter,9/9/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76856793340632,-122.2357997993249,"2515 Clement Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-196-21,,2513 CLEMENT AVE,,ADU20-0048,Accessory Dwelling Unit,Renter,9/9/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.768651418173405,-122.2358857638462,"2513 Clement Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,73-393-54,,1028 FAIR OAKS AVE,,ADU19-0032,Accessory Dwelling Unit,Renter,9/9/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.77033978322473,-122.26750882070517,"1028 Fair Oaks Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,72-348-26,,1509 SANTA CLARA AVE,,ADU19-0031,Accessory Dwelling Unit,Renter,9/3/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.77288013823636,-122.26036211878932,"1509 Santa Clara Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-387-31,,1028 PACIFIC AVE,,ADU20-0053,Accessory Dwelling Unit,Renter,9/23/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.775946081857136,-122.26649363849616,"1028 Pacific Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,73-313-3,,1015 GRAND ST,,ADU19-0033,Accessory Dwelling Unit,Renter,9/24/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.767347087165916,-122.25906040149445,"1015 Grand St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-387-31,,1028 PACIFIC AVE APT A,,ADU20-0052,Accessory Dwelling Unit,Renter,9/23/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.775946081857136,-122.26649363849616,"1028 Pacific Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,69-106-39,,3007 LINCOLN AVE,,ADU19-0021,Accessory Dwelling Unit,Renter,9/16/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.76115077021165,-122.23087384511521,"3007 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-036-14,,1023 POST ST,,ADU20-0050,Accessory Dwelling Unit,Renter,9/15/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.75271898884228,-122.23678170539385,"1023 Post St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-292-09,,1711 EAGLE AVE,,ADU20-0051,Accessory Dwelling Unit,Renter,9/15/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77516951208945,-122.25300568275726,"1711 Eagle Av, Alameda, California, 94501"
