Neighborhood,Population,Margin of Error
Bayview Hunters Point,37394,4462
Bernal Heights,25858,2146
Castro/Upper Market,22284,1498
Chinatown,14737,1575
Excelsior,40701,3689
Financial District/South Beach,19458,2200
Glen Park,8641,537
Golden Gate Park,66,36
Haight Ashbury,18524,1897
Hayes Valley,19678,1586
Inner Richmond,22220,1843
Inner Sunset,29307,2245
Japantown,3532,393
Lakeshore,14643,1263
Lincoln Park,305,103
Lone Mountain/USF,17831,1507
Marina,25331,2020
McLaren Park,669,190
Mission,59639,5335
Mission Bay,12180,1010
Nob Hill,26579,2474
Noe Valley,23507,1648
North Beach,11636,1140
Oceanview/Merced/Ingleside,28217,2564
Outer Mission,24853,2107
Outer Richmond,45891,3642
Pacific Heights,24462,2153
Portola,16563,1631
Potrero Hill,14209,1242
Presidio,4119,264
Presidio Heights,10699,786
Russian Hill,17830,1584
Seacliff,2490,175
South of Market,21771,2115
Sunset/Parkside,82410,6687
Tenderloin,29588,3567
Treasure Island,3064,468
Twin Peaks,8019,685
Visitacion Valley,19005,2025
West of Twin Peaks,39496,2723
Western Addition,22638,2044
